"STATION","DATE","TMAX","TMIN","TOBS","WESD","WESF"
"USC00410433","2006-11-02",,,,,
"USC00410433","2006-11-03",,,,,
"USC00410433","2006-11-07",,,,,
"USC00410433","2006-11-09",,,,,
"USC00410433","2006-11-10",,,,,
"USC00410433","2006-11-13",,,,,
"USC00410433","2006-11-14",,,,,
"USC00410433","2006-11-17",,,,,
"USC00410433","2006-11-20",,,,,
"USC00410433","2006-11-21",,,,,
"USC00410433","2006-11-22",,,,,
"USC00410433","2006-11-27",,,,,
"USC00410433","2006-11-28",,,,,
"USC00410433","2006-11-29",,,,,
"USC00410433","2006-11-30",,,,,
"USC00410433","2006-12-01",,,,,
"USC00410433","2006-12-04",,,,,
"USC00410433","2006-12-05",,,,,
"USC00410433","2006-12-07",,,,,
"USC00410433","2006-12-08",,,,,
"USC00410433","2006-12-11",,,,,
"USC00410433","2006-12-12",,,,,
"USC00410433","2006-12-13",,,,,
"USC00410433","2006-12-15",,,,,
"USC00410433","2006-12-18",,,,,
"USC00410433","2006-12-19",,,,,
"USC00410433","2006-12-20",,,,,
"USC00410433","2006-12-21",,,,,
"USC00410433","2006-12-22",,,,,
"USC00410433","2006-12-26",,,,,
"USC00410433","2006-12-27",,,,,
"USC00410433","2006-12-28",,,,,
"USC00410433","2006-12-29",,,,,
"USC00410433","2007-01-08",,,,,
"USC00410433","2007-01-09",,,,,
"USC00410433","2007-01-10",,,,,
"USC00410433","2007-01-11",,,,,
"USC00410433","2007-01-12",,,,,
"USC00410433","2007-01-15",,,,,
"USC00410433","2007-01-16",,,,,
"USC00410433","2007-01-17",,,,,
"USC00410433","2007-01-18",,,,,
"USC00410433","2007-01-19",,,,,
"USC00410433","2007-01-22",,,,,
"USC00410433","2007-01-23",,,,,
"USC00410433","2007-01-24",,,,,
"USC00410433","2007-01-25",,,,,
"USC00410433","2007-01-26",,,,,
"USC00410433","2007-01-29",,,,,
"USC00410433","2007-02-02",,,,,
"USC00410433","2007-02-05",,,,,
"USC00410433","2007-02-07",,,,,
"USC00410433","2007-02-08",,,,,
"USC00410433","2007-02-09",,,,,
"USC00410433","2007-02-12",,,,,
"USC00410433","2007-02-13",,,,,
"USC00410433","2007-02-14",,,,,
"USC00410433","2007-02-15",,,,,
"USC00410433","2007-02-16",,,,,
"USC00410433","2007-02-19",,,,,
"USC00410433","2007-02-20",,,,,
"USC00410433","2007-02-26",,,,,
"USC00410433","2007-02-27",,,,,
"USC00410433","2007-03-01",,,,,
"USC00410433","2007-03-08",,,,,
"USC00410433","2007-03-14",,,,,
"USC00410433","2007-03-19",,,,,
"USC00410433","2007-03-20",,,,,"0.0"
"USC00410433","2007-03-21",,,,,"0.0"
"USC00410433","2007-03-22",,,,,
"USC00410433","2007-03-26",,,,,
"USC00410433","2007-03-27",,,,,
"USC00410433","2007-03-28",,,,,
"USC00410433","2007-03-29",,,,,
"USC00410433","2007-03-30",,,,,
"USC00410433","2007-04-01",,,,,
"USC00410433","2007-04-02",,,,,
"USC00410433","2007-04-03",,,,,
"USC00410433","2007-04-04",,,,,
"USC00410433","2007-04-05",,,,,
"USC00410433","2007-04-06",,,,,
"USC00410433","2007-04-07",,,,,
"USC00410433","2007-04-08",,,,,
"USC00410433","2007-04-09",,,,,
"USC00410433","2007-04-10",,,,,
"USC00410433","2007-04-11",,,,,
"USC00410433","2007-04-12",,,,,
"USC00410433","2007-04-13",,,,,
"USC00410433","2007-04-14",,,,,
"USC00410433","2007-04-15",,,,,
"USC00410433","2007-04-16",,,,,
"USC00410433","2007-04-17",,,,,
"USC00410433","2007-04-18",,,,,
"USC00410433","2007-04-19",,,,,
"USC00410433","2007-04-20",,,,,
"USC00410433","2007-04-21",,,,,
"USC00410433","2007-04-22",,,,,
"USC00410433","2007-04-23",,,,,
"USC00410433","2007-04-24",,,,,
"USC00410433","2007-04-25",,,,,
"USC00410433","2007-04-26",,,,,
"USC00410433","2007-04-27",,,,,
"USC00410433","2007-04-29",,,,,
"USC00410433","2007-04-30",,,,,
"USC00410433","2007-05-01",,,,,
"USC00410433","2007-05-02",,,,,
"USC00410433","2007-05-03",,,,,
"USC00410433","2007-05-04",,,,,
"USC00410433","2007-05-05",,,,,
"USC00410433","2007-05-06",,,,,
"USC00410433","2007-05-07",,,,,
"USC00410433","2007-05-08",,,,,
"USC00410433","2007-05-09",,,,,
"USC00410433","2007-05-10",,,,,
"USC00410433","2007-05-11",,,,,
"USC00410433","2007-05-12",,,,,
"USC00410433","2007-05-13",,,,,
"USC00410433","2007-05-14",,,,,
"USC00410433","2007-05-15",,,,,
"USC00410433","2007-05-16",,,,,
"USC00410433","2007-05-17",,,,,
"USC00410433","2007-05-18",,,,,
"USC00410433","2007-05-19",,,,,
"USC00410433","2007-05-20",,,,,
"USC00410433","2007-05-21",,,,,
"USC00410433","2007-05-22",,,,,
"USC00410433","2007-05-23",,,,,
"USC00410433","2007-05-24",,,,,
"USC00410433","2007-05-25",,,,,
"USC00410433","2007-05-26",,,,,
"USC00410433","2007-05-27",,,,,
"USC00410433","2007-05-28",,,,,
"USC00410433","2007-05-29",,,,,
"USC00410433","2007-05-30",,,,,
"USC00410433","2007-05-31",,,,,
"USC00410433","2007-06-01",,,,,
"USC00410433","2007-06-02",,,,,
"USC00410433","2007-06-03",,,,,
"USC00410433","2007-06-04",,,,,
"USC00410433","2007-06-05",,,,,
"USC00410433","2007-06-06",,,,,
"USC00410433","2007-06-07",,,,,
"USC00410433","2007-06-08",,,,,
"USC00410433","2007-06-09",,,,,
"USC00410433","2007-06-10",,,,,
"USC00410433","2007-06-11",,,,,
"USC00410433","2007-06-12",,,,,
"USC00410433","2007-06-13",,,,,
"USC00410433","2007-06-14",,,,,
"USC00410433","2007-06-15",,,,,
"USC00410433","2007-06-16",,,,,
"USC00410433","2007-06-17",,,,,
"USC00410433","2007-06-18",,,,,
"USC00410433","2007-06-19",,,,,
"USC00410433","2007-06-20",,,,,
"USC00410433","2007-06-21",,,,,
"USC00410433","2007-06-22",,,,,
"USC00410433","2007-06-23",,,,,
"USC00410433","2007-06-24",,,,,
"USC00410433","2007-06-25",,,,,
"USC00410433","2007-06-26",,,,,
"USC00410433","2007-06-27",,,,,
"USC00410433","2007-06-28",,,,,
"USC00410433","2007-06-29",,,,,
"USC00410433","2007-06-30",,,,,
"USC00410433","2007-07-01",,,,,
"USC00410433","2007-07-02",,,,,
"USC00410433","2007-07-03",,,,,
"USC00410433","2007-07-04",,,,,
"USC00410433","2007-07-05",,,,,
"USC00410433","2007-07-06",,,,,
"USC00410433","2007-07-07",,,,,
"USC00410433","2007-07-08",,,,,
"USC00410433","2007-07-09",,,,,
"USC00410433","2007-07-10",,,,,
"USC00410433","2007-07-11",,,,,
"USC00410433","2007-07-12",,,,,
"USC00410433","2007-07-13",,,,,
"USC00410433","2007-07-14",,,,,
"USC00410433","2007-07-15",,,,,
"USC00410433","2007-07-16",,,,,
"USC00410433","2007-07-17",,,,,
"USC00410433","2007-07-18",,,,,
"USC00410433","2007-07-19",,,,,
"USC00410433","2007-07-20",,,,,
"USC00410433","2007-07-21",,,,,
"USC00410433","2007-07-22",,,,,
"USC00410433","2007-07-23",,,,,
"USC00410433","2007-07-24",,,,,
"USC00410433","2007-07-25",,,,,
"USC00410433","2007-07-26",,,,,
"USC00410433","2007-07-27",,,,,
"USC00410433","2007-07-28",,,,,
"USC00410433","2007-07-29",,,,,
"USC00410433","2007-07-30",,,,,
"USC00410433","2007-07-31",,,,,
"USC00410433","2007-08-01",,,,,
"USC00410433","2007-08-02",,,,,
"USC00410433","2007-08-03",,,,,
"USC00410433","2007-08-04",,,,,
"USC00410433","2007-08-05",,,,,
"USC00410433","2007-08-06",,,,,
"USC00410433","2007-08-07",,,,,
"USC00410433","2007-08-08",,,,,
"USC00410433","2007-08-09",,,,,
"USC00410433","2007-08-10",,,,,
"USC00410433","2007-08-11",,,,,
"USC00410433","2007-08-12",,,,,
"USC00410433","2007-08-13",,,,,
"USC00410433","2007-08-14",,,,,
"USC00410433","2007-08-15",,,,,
"USC00410433","2007-08-16",,,,,
"USC00410433","2007-08-17",,,,,
"USC00410433","2007-08-18",,,,,
"USC00410433","2007-08-19",,,,,
"USC00410433","2007-08-20",,,,,
"USC00410433","2007-08-21",,,,,
"USC00410433","2007-08-22",,,,,
"USC00410433","2007-08-23",,,,,
"USC00410433","2007-08-24",,,,,
"USC00410433","2007-08-25",,,,,
"USC00410433","2007-08-26",,,,,
"USC00410433","2007-08-27",,,,,
"USC00410433","2007-08-28",,,,,
"USC00410433","2007-08-29",,,,,
"USC00410433","2007-08-30",,,,,
"USC00410433","2007-08-31",,,,,
"USC00410433","2007-09-01",,,,,
"USC00410433","2007-09-02",,,,,
"USC00410433","2007-09-03",,,,,
"USC00410433","2007-09-04",,,,,
"USC00410433","2007-09-05",,,,,
"USC00410433","2007-09-06",,,,,
"USC00410433","2007-09-07",,,,,
"USC00410433","2007-09-08",,,,,
"USC00410433","2007-09-09",,,,,
"USC00410433","2007-09-10",,,,,
"USC00410433","2007-09-11",,,,,
"USC00410433","2007-09-12",,,,,
"USC00410433","2007-09-13",,,,,
"USC00410433","2007-09-14",,,,,
"USC00410433","2007-09-15",,,,,
"USC00410433","2007-09-16",,,,,
"USC00410433","2007-09-17",,,,,
"USC00410433","2007-09-18",,,,,
"USC00410433","2007-09-19",,,,,
"USC00410433","2007-09-20",,,,,
"USC00410433","2007-09-21",,,,,
"USC00410433","2007-09-22",,,,,
"USC00410433","2007-09-23",,,,,
"USC00410433","2007-09-24",,,,,
"USC00410433","2007-09-25",,,,,
"USC00410433","2007-09-26",,,,,
"USC00410433","2007-09-27",,,,,
"USC00410433","2007-09-28",,,,,
"USC00410433","2007-09-29",,,,,
"USC00410433","2007-09-30",,,,,
"USC00410433","2007-10-01",,,,,
"USC00410433","2007-10-02",,,,,
"USC00410433","2007-10-03",,,,,
"USC00410433","2007-10-04",,,,,
"USC00410433","2007-10-05",,,,,
"USC00410433","2007-10-06",,,,,
"USC00410433","2007-10-07",,,,,
"USC00410433","2007-10-08",,,,,
"USC00410433","2007-10-09",,,,,
"USC00410433","2007-10-10",,,,,
"USC00410433","2007-10-11",,,,,
"USC00410433","2007-10-12",,,,,
"USC00410433","2007-10-13",,,,,
"USC00410433","2007-10-14",,,,,
"USC00410433","2007-10-15",,,,,
"USC00410433","2007-10-16",,,,,
"USC00410433","2007-10-17",,,,,
"USC00410433","2007-10-18",,,,,
"USC00410433","2007-10-19",,,,,
"USC00410433","2007-10-20",,,,,
"USC00410433","2007-10-21",,,,,
"USC00410433","2007-10-22",,,,,
"USC00410433","2007-10-23",,,,,
"USC00410433","2007-10-24",,,,,
"USC00410433","2007-10-25",,,,,
"USC00410433","2007-10-26",,,,,
"USC00410433","2007-10-27",,,,,
"USC00410433","2007-10-28",,,,,
"USC00410433","2007-10-29",,,,,
"USC00410433","2007-10-30",,,,,
"USC00410433","2007-10-31",,,,,
"USC00410433","2007-11-01",,,,,
"USC00410433","2007-11-02",,,,,
"USC00410433","2007-11-03",,,,,
"USC00410433","2007-11-04",,,,,
"USC00410433","2007-11-05",,,,,
"USC00410433","2007-11-06",,,,,
"USC00410433","2007-11-07",,,,,
"USC00410433","2007-11-08",,,,,
"USC00410433","2007-11-09",,,,,
"USC00410433","2007-11-10",,,,,
"USC00410433","2007-11-11",,,,,
"USC00410433","2007-11-12",,,,,
"USC00410433","2007-11-13",,,,,
"USC00410433","2007-11-14",,,,,
"USC00410433","2007-11-15",,,,,
"USC00410433","2007-11-16",,,,,
"USC00410433","2007-11-17",,,,,
"USC00410433","2007-11-18",,,,,
"USC00410433","2007-11-19",,,,,
"USC00410433","2007-11-20",,,,,
"USC00410433","2007-11-21",,,,,
"USC00410433","2007-11-22",,,,,
"USC00410433","2007-11-23",,,,,
"USC00410433","2007-11-24",,,,,
"USC00410433","2007-11-25",,,,,
"USC00410433","2007-11-26",,,,,
"USC00410433","2007-11-27",,,,,
"USC00410433","2007-11-28",,,,,
"USC00410433","2007-11-29",,,,,
"USC00410433","2007-11-30",,,,,
"USC00410433","2007-12-01",,,,,
"USC00410433","2007-12-02",,,,,
"USC00410433","2007-12-03",,,,,
"USC00410433","2007-12-04",,,,,
"USC00410433","2007-12-05",,,,,
"USC00410433","2007-12-06",,,,,
"USC00410433","2007-12-07",,,,,
"USC00410433","2007-12-08",,,,,
"USC00410433","2007-12-09",,,,,
"USC00410433","2007-12-10",,,,,
"USC00410433","2007-12-11",,,,,
"USC00410433","2007-12-12",,,,,
"USC00410433","2007-12-13",,,,,
"USC00410433","2007-12-14",,,,,
"USC00410433","2007-12-15",,,,,
"USC00410433","2007-12-16",,,,,
"USC00410433","2007-12-17",,,,,
"USC00410433","2007-12-18",,,,,
"USC00410433","2007-12-19",,,,,
"USC00410433","2007-12-20",,,,,
"USC00410433","2007-12-21",,,,,
"USC00410433","2007-12-22",,,,,
"USC00410433","2007-12-23",,,,,
"USC00410433","2007-12-24",,,,,
"USC00410433","2007-12-25",,,,,
"USC00410433","2007-12-26",,,,,
"USC00410433","2007-12-27",,,,,
"USC00410433","2007-12-28",,,,,
"USC00410433","2007-12-29",,,,,
"USC00410433","2007-12-30",,,,,
"USC00410433","2007-12-31",,,,,
"USC00410433","2008-01-01","72","34","34",,
"USC00410433","2008-01-02","56","27","27",,
"USC00410433","2008-01-03","51","26","28",,
"USC00410433","2008-01-04","51","28","33",,
"USC00410433","2008-01-05","64","33","56",,
"USC00410433","2008-01-06","77","56","59",,
"USC00410433","2008-01-07","72","58","66",,
"USC00410433","2008-01-08","75","66","66",,
"USC00410433","2008-01-09","72","36","36",,
"USC00410433","2008-01-10","68","36","48",,
"USC00410433","2008-01-11","67","33","33",,
"USC00410433","2008-01-12","68","33","43",,
"USC00410433","2008-01-13","70","33","34",,
"USC00410433","2008-01-14","63","32","32",,
"USC00410433","2008-01-15","64","31","47",,
"USC00410433","2008-01-16","53","44","45",,
"USC00410433","2008-01-17","58","30","30",,
"USC00410433","2008-01-18","43","29","32",,
"USC00410433","2008-01-19","35","30","30",,
"USC00410433","2008-01-20","48","23","23",,
"USC00410433","2008-01-21","55","23","42",,
"USC00410433","2008-01-22","53","42","53",,
"USC00410433","2008-01-23","54","32","32",,
"USC00410433","2008-01-24","39","32","37",,
"USC00410433","2008-01-25","42","37","37",,
"USC00410433","2008-01-26","40","37","37",,
"USC00410433","2008-01-27","73","37","39",,
"USC00410433","2008-01-28","70","38","52",,
"USC00410433","2008-01-29","70","52","65",,
"USC00410433","2008-01-30","71","29","33",,
"USC00410433","2008-01-31","61","33","52",,
"USC00410433","2008-02-01","61","26","26",,
"USC00410433","2008-02-02","62","26","45",,
"USC00410433","2008-02-03","75","45","64",,
"USC00410433","2008-02-04","81","64","68",,
"USC00410433","2008-02-05","79","67","67",,
"USC00410433","2008-02-06","79","31","32",,
"USC00410433","2008-02-07","61","31","34",,
"USC00410433","2008-02-08","66","34","43",,
"USC00410433","2008-02-09","81","43","48",,
"USC00410433","2008-02-10","79","48","51",,
"USC00410433","2008-02-11","73","51","56",,
"USC00410433","2008-02-12","73","60","64",,
"USC00410433","2008-02-13","64","32","32",,
"USC00410433","2008-02-14","68","32","46",,
"USC00410433","2008-02-15","76","46","61",,
"USC00410433","2008-02-16","73","40","41",,
"USC00410433","2008-02-17","45","36","36",,
"USC00410433","2008-02-18","71","36","45",,
"USC00410433","2008-02-19","62","35","36",,
"USC00410433","2008-02-20","70","36","55",,
"USC00410433","2008-02-21","72","55","65",,
"USC00410433","2008-02-22","73","37","37",,
"USC00410433","2008-02-23","67","36","37",,
"USC00410433","2008-02-24","75","37","55",,
"USC00410433","2008-02-25","79","50","56",,
"USC00410433","2008-02-26","92","44","44",,
"USC00410433","2008-02-27","62","27","29",,
"USC00410433","2008-02-28","66","29","46",,
"USC00410433","2008-02-29","76","46","57",,
"USC00410433","2008-03-01","80","57","61",,
"USC00410433","2008-03-02","81","61","63",,
"USC00410433","2008-03-03","73","47","47",,
"USC00410433","2008-03-04","51","31","35",,
"USC00410433","2008-03-05","71","35","40",,
"USC00410433","2008-03-06","77","40","48",,
"USC00410433","2008-03-07","48","35","35",,
"USC00410433","2008-03-08","60","30","31",,
"USC00410433","2008-03-09","64","31","39",,
"USC00410433","2008-03-10","67","39","56",,
"USC00410433","2008-03-11","56","44","46",,
"USC00410433","2008-03-12","70","42","42",,
"USC00410433","2008-03-13","77","42","56",,
"USC00410433","2008-03-14","79","56","62",,
"USC00410433","2008-03-15","95","60","63",,
"USC00410433","2008-03-16","82","50","50",,
"USC00410433","2008-03-17","74","49","65",,
"USC00410433","2008-03-18","78","65","71",,
